pdb_id,filename,num_frames
2py5A01,2py5A01_R1_i1.npy,500
4pytA01,4pytA01_R2_i1.npy,500
2hz8A00,2hz8A00_R0_i1.npy,500
2psmC01,2psmC01_R0_i1.npy,500
4n2cA02,4n2cA02_R0_i1.npy,500
2xrcB03,2xrcB03_R0_i1.npy,500
2jv4A00,2jv4A00_R2_i1.npy,500
3tacB03,3tacB03_R1_i1.npy,500
3g5cA02,3g5cA02_R1_i1.npy,500
4fw1A02,4fw1A02_R2_i1.npy,500
2vk9A04,2vk9A04_R1_i1.npy,500
2d4xA00,2d4xA00_R1_i1.npy,500
2vtfA01,2vtfA01_R0_i1.npy,500
3chxC00,3chxC00_R1_i1.npy,500
2ot2A01,2ot2A01_R3_i1.npy,500
3danA00,3danA00_R0_i1.npy,500
2pk0A00,2pk0A00_R2_i1.npy,500
2r6zA01,2r6zA01_R0_i1.npy,500
3fwmA01,3fwmA01_R2_i1.npy,500
4kr6A02,4kr6A02_R3_i1.npy,500
4cgkA02,4cgkA02_R1_i1.npy,500
2fokA03,2fokA03_R2_i1.npy,500
2taaA02,2taaA02_R3_i1.npy,500
2jvgA00,2jvgA00_R2_i1.npy,500
2ltfA00,2ltfA00_R3_i1.npy,500
4jdzB03,4jdzB03_R2_i1.npy,500
2vtfA03,2vtfA03_R2_i1.npy,500
2w3pA02,2w3pA02_R3_i1.npy,500
2pbiA03,2pbiA03_R0_i1.npy,500
2mmpA00,2mmpA00_R2_i1.npy,500
3kygA01,3kygA01_R1_i1.npy,500
2dirA01,2dirA01_R2_i1.npy,500
3zypA00,3zypA00_R2_i1.npy,500
3pjpA02,3pjpA02_R0_i1.npy,500
2i1oA02,2i1oA02_R0_i1.npy,500
3bacA01,3bacA01_R3_i1.npy,500
3h7hB00,3h7hB00_R3_i1.npy,500
3m20A00,3m20A00_R1_i1.npy,500
2kw3C00,2kw3C00_R0_i1.npy,500
4le7A02,4le7A02_R2_i1.npy,500
2yclA01,2yclA01_R3_i1.npy,500
4oq8A00,4oq8A00_R0_i1.npy,500
4ix3A01,4ix3A01_R0_i1.npy,500
2rg4A01,2rg4A01_R0_i1.npy,500
2fuqA01,2fuqA01_R3_i1.npy,500
2zuoA02,2zuoA02_R3_i1.npy,500
3igfA02,3igfA02_R2_i1.npy,500
