"","OneProt-5","Text","Pocket","Pocket+Text","SG","SG+Text","SG+Pocket","OneProt-4","ST","ST+Text","ST+pocket","ST+Pocket+Text","ST+SG","ST+SG+Text","SG+ST+Pocket","ESM2"
"OneProt-5",1,0.000176134851635791,0.000541318451541161,0.0316454013376076,0.00134834943935521,0.000529920756833875,0.000726701113461374,0.0236016322409814,0.00133479083101299,2.10634977221392e-05,0.000963881928673766,0.605564563846299,0.000526952197099853,0.00098381095959172,0.000930528385309294,0.272825677261027
"Text",0.000176134851635791,1,2.28635178714807e-05,5.58333511070784e-05,9.81791398280676e-05,8.50111267297913e-05,3.61562497618145e-05,2.40135711579683e-07,9.7621666445207e-05,1.15550905012136e-07,5.79101730699094e-05,3.31835270069269e-07,2.24691222536888e-05,3.4442427598755e-05,5.67162525125182e-05,3.41474498968925e-05
"Pocket",0.000541318451541161,2.28635178714807e-05,1,0.000179151547650915,0.0958365393202042,9.04869840715094e-06,0.0190560476039929,1.27427991072624e-06,0.000306965183208056,4.77545464844011e-07,0.000186386874994304,1.68149168278662e-06,7.56370598794365e-05,3.36880365221246e-05,0.000182226502560355,0.000112030343158075
"Pocket+Text",0.0316454013376076,5.58333511070784e-05,0.000179151547650915,1,0.000565118695240767,0.00244718713000923,0.000257879087669892,0.78079604014328,0.000560628353969593,3.02484298883831e-06,0.000371213719166391,0.00687190780005108,0.000175111496817452,0.00242817233323692,0.000360771652052676,0.0234514048326786
"SG",0.00134834943935521,9.81791398280676e-05,0.0958365393202042,0.000565118695240767,1,6.7427102928787e-05,0.00647567874542536,1.77370429388633e-05,0.00086760661197292,6.48205290793909e-06,0.000597254201663704,2.1332087694151e-05,0.000301328739889689,0.000161435981209677,0.000578739864482801,0.000396014053510157
"SG+Text",0.000529920756833875,8.50111267297913e-05,9.04869840715094e-06,0.00244718713000923,6.7427102928787e-05,1,1.69865086791202e-05,8.64262138692268e-05,6.72326064598552e-05,0.16219623511652,3.28815934166539e-05,3.18295005571062e-07,8.95668839633818e-06,0.791493403390659,3.25166870047508e-05,6.98335654316501e-05
"SG+Pocket",0.000726701113461374,3.61562497618145e-05,0.0190560476039929,0.000257879087669892,0.00647567874542536,1.69865086791202e-05,1,2.93419220787824e-06,0.000427637350421425,1.08390234146547e-06,0.000269469098950243,3.75434836329158e-06,0.000116767742716312,5.50378454153703e-05,0.000262800944503922,0.000166842089181729
"OneProt-4",0.0236016322409814,2.40135711579683e-07,1.27427991072624e-06,0.78079604014328,1.77370429388633e-05,8.64262138692268e-05,2.93419220787824e-06,1,1.77164396555568e-05,6.86125166830441e-09,7.02572702430597e-06,0.00117560054740894,1.26839321034185e-06,0.000213351073524784,6.99291131409063e-06,0.0160659644279594
"ST",0.00133479083101299,9.7621666445207e-05,0.000306965183208056,0.000560628353969593,0.00086760661197292,6.72326064598552e-05,0.000427637350421425,1.77164396555568e-05,1,6.47290874156097e-06,0.0023041283646777,2.13033827550133e-05,0.000299466629760714,0.00016062619038037,0.00719501860711591,0.000393224199640225
"ST+Text",2.10634977221392e-05,1.15550905012136e-07,4.77545464844011e-07,3.02484298883831e-06,6.48205290793909e-06,0.16219623511652,1.08390234146547e-06,6.86125166830441e-09,6.47290874156097e-06,1,2.57042650149399e-06,6.91342638417322e-11,4.74977246309752e-07,0.0720100011104916,2.5560760187839e-06,1.06613024409566e-06
"ST+pocket",0.000963881928673766,5.79101730699094e-05,0.000186386874994304,0.000371213719166391,0.000597254201663704,3.28815934166539e-05,0.000269469098950243,7.02572702430597e-06,0.0023041283646777,2.57042650149399e-06,1,8.71138569835737e-06,0.000182226502560355,9.15439901099363e-05,0.000445467844653573,0.000249825429476263
"ST+Pocket+Text",0.605564563846299,3.31835270069269e-07,1.68149168278662e-06,0.00687190780005108,2.1332087694151e-05,3.18295005571062e-07,3.75434836329158e-06,0.00117560054740894,2.13033827550133e-05,6.91342638417322e-11,8.71138569835737e-06,1,1.67264148446781e-06,2.64658345621515e-06,8.66453233091471e-06,0.80772254609313
"ST+SG",0.000526952197099853,2.24691222536888e-05,7.56370598794365e-05,0.000175111496817452,0.000301328739889689,8.95668839633818e-06,0.000116767742716312,1.26839321034185e-06,0.000299466629760714,4.74977246309752e-07,0.000182226502560355,1.67264148446781e-06,1,3.31523579676073e-05,0.000178135139435671,0.000109716693328654
"ST+SG+Text",0.00098381095959172,3.4442427598755e-05,3.36880365221246e-05,0.00242817233323692,0.000161435981209677,0.791493403390659,5.50378454153703e-05,0.000213351073524784,0.00016062619038037,0.0720100011104916,9.15439901099363e-05,2.64658345621515e-06,3.31523579676073e-05,1,8.9847263842113e-05,0.000162141519048866
"SG+ST+Pocket",0.000930528385309294,5.67162525125182e-05,0.000182226502560355,0.000360771652052676,0.000578739864482801,3.25166870047508e-05,0.000262800944503922,6.99291131409063e-06,0.00719501860711591,2.5560760187839e-06,0.000445467844653573,8.66453233091471e-06,0.000178135139435671,8.9847263842113e-05,1,0.000243515613419183
"ESM2",0.272825677261027,3.41474498968925e-05,0.000112030343158075,0.0234514048326786,0.000396014053510157,6.98335654316501e-05,0.000166842089181729,0.0160659644279594,0.000393224199640225,1.06613024409566e-06,0.000249825429476263,0.80772254609313,0.000109716693328654,0.000162141519048866,0.000243515613419183,1
